file,target,phase,associations,callbacks,scopes,includes
app/models/user.rb,services/api/internal/identity,P1,13:has_one:profile | 49:has_one:notification_setting | 50:has_one:onboarding_checklist | 51:has_one:setting | 53:has_many:affected_feedback_messages | 55:has_many:ahoy_events | 56:has_many:scheduled_automations | 57:has_many:ahoy_visits | 58:has_many:api_secrets | 59:has_many:agent_sessions | 60:has_many:articles | 61:has_many:ai_audits | 62:has_many:audit_logs | 63:has_many:authored_notes | 64:has_many:badge_achievements | 65:has_many:badge_achievements_rewarded | 67:has_many:badges | 68:has_many:banished_users | 70:has_many:blocked_blocks | 72:has_many:blocker_blocks | 74:has_many:collections | 75:has_many:comments | 76:has_many:created_podcasts | 77:has_many:credits | 78:has_many:discussion_locks | 79:has_many:billboard_events | 80:has_many:email_authorizations | 81:has_many:email_messages | 82:has_many:feed_events | 83:has_many:feed_import_logs | 84:has_many:feed_sources | 85:has_many:lead_submissions | 86:has_many:field_test_memberships | 88:has_many:github_repos | 89:has_many:html_variants | 90:has_many:identities | 91:has_many:identities_enabled | 92:has_many:listings | 93:has_many:mentions | 94:has_many:notes,177:before_validation: | 273:before_validation:downcase_email | 276:before_validation:set_username | 277:before_create:create_users_settings_and_notification_settings_records | 278:after_update:refresh_auto_audience_segments | 279:after_update:create_email_change_note | 280:after_update:create_password_change_note | 281:before_destroy:remove_from_mailchimp_newsletters | 282:before_destroy:destroy_follows | 287:after_save:sync_base_email_eligible! | 290:after_save:create_conditional_autovomits | 291:after_save:generate_social_images | 292:after_commit:subscribe_to_mailchimp_newsletter | 293:after_commit:bust_profile_identity_cache | 294:after_commit:bust_profile_details_cache | 295:after_commit:bust_profile_image_cache | 296:after_commit:enqueue_profile_spam_check,"194:scope :eager_load_serialized_data, -> { includes(:roles) } | 195:scope :registered, -> { where(registered: true) } | 196:scope :email_eligible, lambda { | 209:scope :invited, -> { where(registered: false) } | 224:scope :search_by_name_and_username, lambda { |term| | 247:scope :with_experience_level, lambda { |level = nil| | 251:scope :recently_active, lambda { |active_limit = RECENTLY_ACTIVE_LIMIT| | 255:scope :following_tags, lambda { |tags| | 263:scope :community_bots_for_subforem, lambda { |subforem_id| | 266:scope :above_average, lambda {",5:include CloudinaryHelper | 7:include Images::Profile.for(:profile_image_url) | 8:include AlgoliaSearchable | 30:include StringAttributeCleaner.nullify_blanks_for(:email)
app/models/user_activity.rb,services/api/internal/identity,P1,8:belongs_to:user,,,
app/models/user_block.rb,services/api/internal/identity,P1,2:belongs_to:blocker | 3:belongs_to:blocked,13:after_create:bust_blocker_cache | 14:before_destroy:bust_blocker_cache,,
app/models/user_language.rb,services/api/internal/identity,P1,2:belongs_to:user,,,
app/models/user_query.rb,services/api/internal/identity,P1,2:belongs_to:created_by | 4:has_many:emails,,"21:scope :active, -> { where(active: true) } | 22:scope :recently_executed, -> { where.not(last_executed_at: nil).order(last_executed_at: :desc) }",
app/models/user_role.rb,services/api/internal/identity,P1,5:belongs_to:user | 6:belongs_to:role,,,
app/models/user_subscription.rb,services/api/internal/identity,P1,10:belongs_to:author | 11:belongs_to:subscriber | 12:belongs_to:user_subscription_sourceable,,,
app/models/user_visit_context.rb,services/api/internal/identity,P1,2:belongs_to:user | 3:has_many:ahoy_visits,5:after_create:set_user_language,,
app/models/users/notification_setting.rb,services/api/internal/identity,P1,8:belongs_to:user,15:after_commit:subscribe_to_mailchimp_newsletter | 16:after_save:,,
app/models/users/setting.rb,services/api/internal/identity,P1,10:belongs_to:user,40:before_update:update_content_preferences_updated_at_if_changed | 41:after_update:refresh_auto_audience_segments | 42:after_commit:bust_user_profile_details_cache,"11:scope :with_feed, lambda {",
app/models/webpage_reference.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:record | 3:belongs_to:linked_domain,,,
