file,target,phase,associations,callbacks,scopes,includes
app/models/organization.rb,services/api/internal/organizations,P1,52:has_many:articles | 53:has_many:collections | 54:has_many:credits | 55:has_many:billboards | 56:has_many:listings | 57:has_many:notifications | 58:has_many:lead_forms | 59:has_many:pages | 60:has_many:organization_memberships | 61:has_many:profile_pins | 62:has_many:unspent_credits | 63:has_many:users | 64:has_many:active_memberships | 65:has_many:active_users,33:before_validation:downcase_slug | 34:before_validation:normalize_custom_domain | 35:before_validation:check_for_slug_change | 36:before_validation:evaluate_markdown | 38:before_save:remove_at_from_usernames | 39:before_save:generate_secret | 40:before_save:reset_verification_on_domain_change | 42:after_save:bust_cache | 43:after_save:generate_social_images,108:scope = order(:name),3:include CloudinaryHelper | 4:include PgSearch::Model | 5:include AlgoliaSearchable | 7:include Images::Profile.for(:profile_image_url)
app/models/organization_lead_form.rb,services/api/internal/organizations,P1,2:belongs_to:organization | 3:has_many:lead_submissions,,"9:scope :active, -> { where(active: true) }",
app/models/organization_membership.rb,services/api/internal/organizations,P1,5:belongs_to:user | 6:belongs_to:organization,14:before_create:generate_invitation_token | 16:after_create:update_user_organization_info_updated_at | 17:after_update:update_user_organization_info_updated_at | 18:after_destroy:update_user_organization_info_updated_at | 20:after_commit:bust_cache | 21:after_commit:recompile_organization_pages,"23:scope :admin, -> { where(type_of_user: ""admin"") } | 24:scope :member, -> { where(type_of_user: %w[admin member]) } | 25:scope :pending, -> { where(type_of_user: ""pending"") } | 26:scope :active, -> { where.not(type_of_user: ""pending"") }",
app/models/page.rb,services/api/internal/domain + gorm models,P1,11:has_many:billboards | 12:belongs_to:subforem | 13:belongs_to:page_template | 14:belongs_to:organization,25:before_validation:set_default_template | 26:before_save:evaluate_markdown | 27:before_save:render_from_page_template | 29:after_commit:ensure_uniqueness_of_landinge_page | 30:after_commit:bust_cache,"35:scope :from_subforem, lambda { |subforem_id = nil|",2:include LiquidEmbeddable
app/models/page_template.rb,services/api/internal/domain + gorm models,P1,5:has_many:pages | 6:has_many:forks | 8:belongs_to:forked_from,17:after_update:re_render_pages,"20:scope :root_templates, -> { where(forked_from_id: nil) }",
app/models/page_view.rb,services/api/internal/domain + gorm models,P1,5:belongs_to:user | 6:belongs_to:article | 7:belongs_to:viewable,9:before_create:extract_domain_and_path,,
app/models/podcast.rb,services/api/internal/media (post-MVP),P1,6:belongs_to:creator | 8:has_many:podcast_episodes | 11:has_many:podcast_ownerships | 12:has_many:owners,24:after_save:bust_cache,"26:scope :reachable, -> { where(id: PodcastEpisode.reachable.select(:podcast_id)) } | 27:scope :featured, -> { where(featured: true) } | 28:scope :published, -> { where(published: true) } | 29:scope :available, -> { reachable.published } | 30:scope :eager_load_serialized_data, -> { includes(:user, :podcast, :tags) }",4:include Images::Profile.for(:profile_image_url)
app/models/podcast_episode.rb,services/api/internal/media (post-MVP),P1,12:belongs_to:podcast | 13:has_many:comments | 14:has_many:podcast_episode_appearances | 15:has_many:users,27:before_validation:process_html_and_prefix_all_images | 30:after_update:purge | 31:after_destroy:purge | 32:after_save:bust_cache,"38:scope :reachable, -> { where(reachable: true) } | 39:scope :published, -> { joins(:podcast).where(podcasts: { published: true }) } | 40:scope :available, -> { reachable.published } | 41:scope :for_user, lambda { |user| | 44:scope :eager_load_serialized_data, -> {}",2:include PgSearch::Model | 3:include AlgoliaSearchable
app/models/podcast_episode_appearance.rb,services/api/internal/media (post-MVP),P1,5:belongs_to:user | 6:belongs_to:podcast_episode,,,
app/models/podcast_ownership.rb,services/api/internal/media (post-MVP),P1,5:belongs_to:owner | 6:belongs_to:podcast,,,
app/models/poll.rb,services/api/internal/domain + gorm models,P1,14:belongs_to:article | 15:belongs_to:survey | 17:has_many:poll_options | 18:has_many:poll_skips | 19:has_many:poll_votes | 20:has_many:poll_text_responses,36:before_validation:generate_scale_options | 37:before_save:evaluate_markdown | 38:before_create:set_default_position | 39:after_create:create_poll_options,,
app/models/poll_option.rb,services/api/internal/domain + gorm models,P1,5:belongs_to:poll | 6:has_many:poll_votes,12:before_save:evaluate_markdown,,
app/models/poll_skip.rb,services/api/internal/domain + gorm models,P1,9:belongs_to:poll | 10:belongs_to:user,,,
app/models/poll_text_response.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:poll | 3:belongs_to:user,,,
app/models/poll_vote.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:user | 3:belongs_to:poll_option | 4:belongs_to:poll,,,
app/models/profile.rb,services/api/internal/identity,P1,5:belongs_to:user,9:after_commit:bust_user_profile_details_cache | 10:after_commit:complete_onboarding_profile_item | 11:after_commit:enqueue_profile_spam_check,,
app/models/profile_field.rb,services/api/internal/identity,P1,12:belongs_to:profile_field_group,21:before_create:generate_attribute_name,,
app/models/profile_field_group.rb,services/api/internal/identity,P1,3:has_many:profile_fields,,"7:scope :onboarding, lambda { | 11:scope :non_empty_groups, lambda {",
app/models/profile_pin.rb,services/api/internal/identity,P1,5:belongs_to:pinnable | 6:belongs_to:profile,,,
app/models/rating_vote.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:article | 3:belongs_to:user,,,
