file,domain,target,phase,queue_options,has_perform,service_calls
app/workers/emails/remove_old_emails_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10",True,
app/workers/emails/send_user_digest_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 15, lock: :until_executing",True,EmailDigestArticleCollector.new | Ai::ArticleSummaryGenerator.new | Ai::EmailDigestSummary.new | BillboardEvent.create | BillboardEvent.create | FeedEvents::BulkUpsert.call
app/workers/emails/survey_daily_email_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 5, lock: :until_and_while_executing",True,
app/workers/events/manage_broadcast_billboards_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 3, lock: :until_executing, on_conflict: :replace",True,EdgeCache::PurgeByKey.call | EdgeCache::PurgeByKey.call | EdgeCache::PurgeByKey.call
app/workers/export_content_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10, lock: :until_executed",True,Exporter::Service.new
app/workers/feeds/import_articles_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10, lock: :until_and_while_executing",True,Feeds::Import.call
app/workers/feeds/import_log_cleanup_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10",True,
app/workers/follows/send_email_notification_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :mailers, retry: 10",True,NotifyMailer.new
app/workers/follows/update_points_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10, lock: :until_and_while_executing",True,
app/workers/generate_article_embedding_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, lock: :until_executing, on_conflict: :replace",True,Ai::Embedding.new | UpdateUserInterestEmbeddingWorker.perform_async
app/workers/github_repos/repo_sync_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10, lock: :until_executing",True,
app/workers/github_repos/update_latest_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10",True,
app/workers/identify_trends_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, lock: :until_executing, on_conflict: :replace",True,Ai::TrendDetector.new
app/workers/images/social_image_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 5",True,Images::GenerateSocialImageMagickally.call
app/workers/linked_domains/update_score_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, lock: :until_executing, on_conflict: :replace",True,
app/workers/listings/bust_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::BustListings.call
app/workers/mentions/create_all_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 10",True,Mentions::CreateAll.call
app/workers/mentions/send_email_notification_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 10",True,
