file,domain,target,phase,filters,service_calls
app/controllers/admin/settings/mandatory_settings_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,4:Struct.new | 25:Result.new
app/controllers/admin/spaces_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"8:after_action only: %i[update] do | 17:after_action :bust_content_change_caches, only: %i[update]",23:Space.new | 33:Space.new
app/controllers/admin/subforem_moderators/moderators_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,10:before_action :set_subforem | 11:before_action :ensure_admin_or_moderator,20:SubforemModerators::Add.call | 39:SubforemModerators::Remove.call
app/controllers/admin/subforems_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"17:before_action :set_subforem, only: %i[show edit update] | 18:before_action :authorize_subforem, only: %i[show edit update]",29:Subforem.new | 37:Subforem.new
app/controllers/admin/surveys_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,65:Survey.new | 74:Survey.new
app/controllers/admin/tags/moderators_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,8:after_action only: %i[create destroy] do,21:TagModerators::Add.call | 43:TagModerators::Remove.call
app/controllers/admin/tags_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"12:before_action :set_default_options, only: %i[index] | 13:before_action :badges_for_options, only: %i[new create edit update] | 14:after_action only: [:update] do",24:Tag.new | 35:Tag.new | 50:Tags::AliasRetagWorker.perform_async
app/controllers/admin/tools_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,33:Articles::Feeds::VariantQuery.new | 61:EdgeCache::BustArticle.call | 76:EdgeCache::Bust.call
app/controllers/admin/user_queries_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"3:before_action :set_user_query, only: %i[show edit update destroy test_execute toggle_active]",30:UserQuery.new | 37:UserQuery.new | 67:UserQueryExecutor.new | 94:UserQueryValidator.new
app/controllers/admin/users_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,40:after_action only: %i[update user_status banish full_delete merge] do,86:Credits::Manage.call | 102:Note.create | 127:Note.create | 153:Users::Update.call | 159:Note.create | 190:Note.create | 216:Users::RemoveRole.call | 285:Credits::Manage.call | 299:TagModerators::Add.call | 328:ExportContentWorker.perform_async | 334:Moderator::BanishUserWorker.perform_async | 342:Moderator::DeleteUser.call | 358:Moderator::UnpublishAllArticlesWorker.perform_async | 362:Note.create | 381:Moderator::MergeUser.call | 518:Note.create | 561:Note.create | 610:Admin::UsersQuery.call | 628:Admin::UsersQuery.call | 651:Note.create | 779:AuditLog::UnpublishAllsQuery.call | 782:AuditLog::UnpublishAllsQuery.new
app/controllers/admin/welcome_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,14:Article.create
app/controllers/agent_sessions_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"2:before_action :require_agent_sessions_enabled! | 3:before_action :authenticate_user!, except: %i[show] | 4:before_action :set_agent_session, only: %i[show edit update destroy raw_url] | 5:before_action :limit_uploads, only: %i[create presign] | 6:after_action :verify_authorized",23:AgentSession.new
app/controllers/ahoy/email_clicks_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,5:skip_before_action :verify_authenticity_token # Signitures are used to verify requests here | 6:before_action :verify_signature,23:Users::RecordFieldTestEventWorker.perform_async | 48:BillboardEvent.create | 82:FeedEvent.create | 90:UpdateUserInterestEmbeddingWorker.perform_async
app/controllers/ai_chats_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,2:before_action :authenticate_user! | 3:before_action :ensure_ai_available!,20:Ai::EditorHelperService.new | 22:Ai::ChatService.new | 28:MarkdownProcessor::Parser.new
app/controllers/ai_image_generations_controller.rb,web-rails-controller,apps/web routes + services/api handlers,P2,"2:before_action :authenticate_user! | 3:before_action :limit_generations, only: [:create] | 4:after_action :verify_authorized",48:Ai::ImageGenerator.new
app/controllers/api/v0/admin/users_controller.rb,public-api,services/api/internal/http/handlers,P1,"7:before_action :authenticate_with_api_key_or_current_user! | 8:before_action :authorize_super_admin | 9:skip_before_action :verify_authenticity_token, only: %i[create]",
app/controllers/api/v0/analytics_controller.rb,public-api,services/api/internal/http/handlers,P1,"11:before_action :authenticate_with_api_key_or_current_user! | 12:before_action :authorize_user_organization | 13:before_action :load_owner | 14:before_action :validate_date_params, only: %i[historical dashboard]",
app/controllers/api/v0/api_controller.rb,public-api,services/api/internal/http/handlers,P1,14:after_action :add_deprecation_warning_header,
app/controllers/api/v0/articles_controller.rb,public-api,services/api/internal/http/handlers,P1,"8:before_action :authenticate!, only: %i[create update me] | 10:before_action :validate_article_param_is_hash, only: %i[create update] | 12:before_action :set_cache_control_headers, only: %i[index show show_by_slug] | 14:skip_before_action :verify_authenticity_token, only: %i[create update] | 16:after_action :verify_authorized, only: %i[create]",
app/controllers/api/v0/badge_achievements_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate_with_api_key_or_current_user! | 7:before_action :require_admin | 8:skip_before_action :verify_authenticity_token,
app/controllers/api/v0/badges_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate_with_api_key_or_current_user! | 7:before_action :require_admin | 8:skip_before_action :verify_authenticity_token,
app/controllers/api/v0/comments_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index show]",
app/controllers/api/v0/events_controller.rb,public-api,services/api/internal/http/handlers,P1,"4:skip_before_action :verify_authenticity_token, only: %i[create update destroy] | 5:before_action :authenticate!, except: %i[index show] | 6:before_action :set_event, only: %i[show update destroy] | 10:before_action :evaluate_authentication, only: %i[index show]",29:Event.new
app/controllers/api/v0/followers_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :authenticate_with_api_key_or_current_user! | 7:before_action -> { limit_per_page(default: 80, max: 1000) }",
app/controllers/api/v0/follows_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate_with_api_key_or_current_user!,
app/controllers/api/v0/health_checks_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate_with_token,
app/controllers/api/v0/instances_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :set_no_cache_header,
app/controllers/api/v0/listings_controller.rb,public-api,services/api/internal/http/handlers,P1,"4:before_action :authenticate_with_api_key_or_current_user!, only: %i[create update] | 5:before_action :authenticate_with_api_key_or_current_user, only: %i[show] | 6:before_action :set_cache_control_headers, only: %i[index show] | 7:before_action :set_and_authorize_listing, only: %i[update] | 8:skip_before_action :verify_authenticity_token, only: %i[create update]",
app/controllers/api/v0/mobile_auth_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:skip_before_action :verify_authenticity_token, only: :create",26:OmniAuth::AuthHash.new | 36:Authentication::Authenticator.call
app/controllers/api/v0/organizations_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :find_organization, only: %i[users listings articles]",
app/controllers/api/v0/podcast_episodes_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index]",
app/controllers/api/v0/readinglist_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate!,
app/controllers/api/v0/subforems_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index]",
app/controllers/api/v0/tags_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index]",
app/controllers/api/v0/trends_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :find_trend, only: %i[show articles] | 7:before_action :set_cache_control_headers, only: %i[index show articles]",
app/controllers/api/v0/users_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :authenticate!, only: %i[me]",
app/controllers/api/v0/videos_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index]",
app/controllers/api/v1/admin/base_controller.rb,public-api,services/api/internal/http/handlers,P1,"7:before_action :authenticate! | 8:before_action :authorize_super_admin | 9:after_action :flush_audit, if: -> { response.successful? && @audit_payload }",
app/controllers/api/v1/admin/request_redirects_controller.rb,public-api,services/api/internal/http/handlers,P1,"2:before_action :set_request_redirect, only: %i[show update destroy]",17:RequestRedirect.new
app/controllers/api/v1/agent_sessions_controller.rb,public-api,services/api/internal/http/handlers,P1,"4:before_action :require_agent_sessions_enabled! | 5:before_action :authenticate_with_api_key! | 6:before_action :set_agent_session, only: %i[show raw_url] | 7:after_action :verify_authorized, only: %i[create presign raw_url]",
app/controllers/api/v1/analytics_controller.rb,public-api,services/api/internal/http/handlers,P1,"11:before_action :authenticate_with_api_key_or_current_user! | 12:before_action :authorize_user_organization | 13:before_action :load_owner | 14:before_action :validate_date_params, only: %i[historical dashboard]",
app/controllers/api/v1/api_controller.rb,public-api,services/api/internal/http/handlers,P1,9:skip_before_action :verify_authenticity_token,
app/controllers/api/v1/articles_controller.rb,public-api,services/api/internal/http/handlers,P1,"8:before_action :authenticate_with_api_key!, only: %i[create update me unpublish] | 9:before_action :validate_article_param_is_hash, only: %i[create update] | 10:before_action :set_cache_control_headers, only: %i[index show show_by_slug] | 11:after_action :verify_authorized, only: %i[create]",
app/controllers/api/v1/audience_segments_controller.rb,public-api,services/api/internal/http/handlers,P1,"11:before_action :authenticate_with_api_key! | 12:before_action :require_admin | 13:before_action :restrict_user_ids, only: %i[add_users remove_users]",29:AudienceSegment.create | 56:SegmentedUsers::BulkUpsert.call | 62:SegmentedUsers::BulkDelete.call
app/controllers/api/v1/badge_achievements_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate! | 7:before_action :require_admin,
app/controllers/api/v1/badges_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate! | 7:before_action :require_admin,
app/controllers/api/v1/billboards_controller.rb,public-api,services/api/internal/http/handlers,P1,4:before_action :authenticate_with_api_key! | 5:before_action :require_admin,22:Billboard.new
app/controllers/api/v1/comments_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index show]",
app/controllers/api/v1/feedback_messages_controller.rb,public-api,services/api/internal/http/handlers,P1,5:before_action :authenticate! | 6:before_action :require_admin,
app/controllers/api/v1/followers_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :authenticate_with_api_key_or_current_user! | 7:before_action -> { limit_per_page(default: 80, max: 1000) }",
app/controllers/api/v1/follows_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate_with_api_key_or_current_user!,
app/controllers/api/v1/health_checks_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate_with_token,
app/controllers/api/v1/instances_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :set_no_cache_header,
app/controllers/api/v1/listings_controller.rb,public-api,services/api/internal/http/handlers,P1,"4:before_action :authenticate_with_api_key_or_current_user!, only: %i[create update] | 5:before_action :authenticate_with_api_key_or_current_user, only: %i[show] | 6:before_action :set_cache_control_headers, only: %i[index show] | 7:before_action :set_and_authorize_listing, only: %i[update]",
app/controllers/api/v1/organizations_controller.rb,public-api,services/api/internal/http/handlers,P1,"5:before_action :find_organization, only: %i[users listings articles] | 6:before_action :authenticate!, only: %i[create update destroy] | 7:before_action :authorize_admin, only: %i[update] | 8:before_action :authorize_super_admin, only: %i[create destroy] | 9:after_action :verify_authorized, only: %i[create update destroy]",45:Organization.new | 86:Organizations::DeleteWorker.perform_async | 111:Images::SafeRemoteProfileImageUrl.call
app/controllers/api/v1/pages_controller.rb,public-api,services/api/internal/http/handlers,P1,"4:before_action :authenticate!, except: %i[show index] | 5:before_action :require_admin, only: %i[create update destroy]",18:Page.new
app/controllers/api/v1/podcast_episodes_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index]",
app/controllers/api/v1/reactions_controller.rb,public-api,services/api/internal/http/handlers,P1,4:before_action :authenticate! | 5:before_action :require_admin,11:ReactionHandler.create | 31:ReactionHandler.toggle
app/controllers/api/v1/readinglist_controller.rb,public-api,services/api/internal/http/handlers,P1,6:before_action :authenticate_with_api_key!,
app/controllers/api/v1/recommended_articles_lists_controller.rb,public-api,services/api/internal/http/handlers,P1,4:before_action :authenticate_with_api_key! | 5:before_action :require_admin,
app/controllers/api/v1/subforems_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index]",
app/controllers/api/v1/tags_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index]",
app/controllers/api/v1/trends_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :find_trend, only: %i[show articles] | 7:before_action :set_cache_control_headers, only: %i[index show articles]",
app/controllers/api/v1/user_roles_controller.rb,public-api,services/api/internal/http/handlers,P1,4:before_action :authenticate_with_api_key! | 10:before_action :check_role | 11:before_action :set_target_user | 12:before_action :authorize_role_management,38:Moderator::ManageActivityAndRoles.new | 60:Moderator::ManageActivityAndRoles.new
app/controllers/api/v1/users_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :authenticate_with_api_key!, only: %i[me search suspend unpublish]",
app/controllers/api/v1/videos_controller.rb,public-api,services/api/internal/http/handlers,P1,"6:before_action :set_cache_control_headers, only: %i[index]",
